 muB (MeV)    P (MeV/fm^3)           nB/n0    e (MeV/fm^3)              cs
1403.73352    0.233334E+03    0.447150E+01    0.770952E+03    0.100709E+01
1409.12202    0.237197E+03    0.448845E+01    0.774767E+03    0.100512E+01
1414.51052    0.241074E+03    0.450548E+01    0.778613E+03    0.100249E+01
1419.89901    0.244966E+03    0.452261E+01    0.782497E+03    0.999205E+00
1425.28751    0.248872E+03    0.453986E+01    0.786424E+03    0.995299E+00
1430.67601    0.252794E+03    0.455726E+01    0.790400E+03    0.990793E+00
1436.06451    0.256731E+03    0.457483E+01    0.794429E+03    0.985715E+00
1441.45301    0.260682E+03    0.459259E+01    0.798518E+03    0.980096E+00
1446.84151    0.264650E+03    0.461057E+01    0.802673E+03    0.973969E+00
1452.23001    0.268633E+03    0.462879E+01    0.806899E+03    0.967366E+00
1457.61851    0.272631E+03    0.464728E+01    0.811202E+03    0.960325E+00
1463.00701    0.276646E+03    0.466605E+01    0.815589E+03    0.952880E+00
1468.39551    0.280677E+03    0.468513E+01    0.820064E+03    0.945069E+00
1473.78401    0.284725E+03    0.470455E+01    0.824634E+03    0.936927E+00
1479.17251    0.288789E+03    0.472432E+01    0.829305E+03    0.928491E+00
1484.56101    0.292871E+03    0.474448E+01    0.834083E+03    0.919797E+00
1489.94951    0.296971E+03    0.476503E+01    0.838975E+03    0.910878E+00
1495.33801    0.301088E+03    0.478602E+01    0.843986E+03    0.901768E+00
1500.72651    0.305223E+03    0.480745E+01    0.849124E+03    0.892500E+00
1506.11501    0.309378E+03    0.482936E+01    0.854393E+03    0.883104E+00
1511.50350    0.313551E+03    0.485176E+01    0.859802E+03    0.873609E+00
